,averageDepartureDelay,MedianDelay,TotalFlights,Airline
0,10.178762481230244,0.0,1330598,WN
1,8.155754169633253,-2.0,990195,DL
2,12.114915337571487,-2.0,927448,AA
3,12.564053392669365,-3.0,819738,OO
4,13.004563709088917,-3.0,620767,UA
5,8.544063599958992,-4.0,321887,YX
6,9.272981408689438,-3.0,316223,MQ
7,17.745473360997547,-3.0,293761,B6
8,10.704733524922498,-3.0,282897,OH
9,5.0346367947220125,-4.0,261918,AS
10,10.245764586889184,-4.0,253104,9E
11,13.80316319064953,-3.0,221422,YV
12,10.940950394756443,-3.0,201390,NK
13,14.577009288343467,-3.0,133393,F9
14,17.21400657286479,-4.0,128711,EV
